codebook,cname,edate,ccode,year,month,coup,confidence,added,coder,cmps,mmdd,Narrative,confirmed,sources,location1,location2,location3,location4,location5,location6,location7,location8,Johnson
cmps=1 if event was included in cmps version of data,Sao Tome and Principe,2/10/2014,403,2014,2,0,1,1,cmps,1,0,"Angry soldiers mutinied, protesting the presidential guard and refused to receive honors from the president. Reports indicate that the soldiers were protesting rising prices.",,"1. President says discontent in Sao Tome army, plays down fears of uprising. 2. Feburary 2014 mutiny. GlobalSecurity.org Google. Available from: https://www.globalsecurity.org/military/world/africa/stp-mutiny-2014.htm","Sao Tome, Sao Tome e Principe",,,,,,,,0
"added=1 if cmps, 2 if current round",Guinea-Bissau,3/17/1993,404,1993,3,1,1,1,cmps,1,1,"A mutiny began when the head of an elite security unit, Major Robalo Gomes de Pina, was assassinated in Bissau. Troops engaged in fighting with loyalist forces and were put down, with more than 30 soldiers arrested. The mutiny reportedly stemmed from grievances related to pay and living conditions.",,"1. Guinea-Bissau terms military uprising as coup attempt. Xinhua General News Service. March 24 1993. LN. 2. Uprising servicemen arrested in Guinea-Bissau. The Xinhua General Overseas News ServiceXinhua General News Service. March 23 1993. LN. 3. McGowan, Patrick. 2003. ""African Military coups detat, 1956-2001: Frequency, Trends and distribution."" Journal of Modern African Studies 41(3): 339-370. 4. The Status of Human rights organizations in sub-saharan Africa Guinea-Bissau. University of Minnesota Human Rights Library. Google. Available from: http://hrlibrary.umn.edu/africa/gbissau.htm","Bissau, Guinea-Bissau",,,,,,,,1
coder=who added?,Guinea-Bissau,6/7/1998,404,1998,6,1,0,1,cmps,1,1,"Mutinies broke out at two barracks in the capital, with soldiers taking over arms caches, after they were scheduled to be dismissed for alleged involvement in arms trafficking to Casamance rebels. More than 60 mutineers were killed in the governments response to the mutiny. Some reports suggest up to 400 soldiers are involved in the mutiny. ",,1. Guinea-Bissau; No reaction on Guinea Bissau mutiny at OAU Summit. Africa News. June 8 1998. LN. 2. Guinea-Bissau government troops storm renegade soldiers. Agence France Presse. June 9 1998. LN. 3. Gunfire subsides but leaves Guinea Bissau's capital in turmoil. Agence France Presse. June 11 1998. LN. 4. Guinea-Bissau; Libya mediates in Guinea-Bissau mutiny. Africa News. June 15 1998. LN. 5. Mutiny quashed. The Australian. June 15 1998. LN. 6. Bissau emptying as army mutiny causes food shortage. Agence France Presse. June 18 1998. LN.,"Bissau, Guinea-Bissau",,,,,,,,1
Confidence=1 if no doubt event was a mutiny,Guinea-Bissau,11/3/1999,404,1999,11,0,1,1,cmps,1,0,"A battalion of 600 soldiers mutinied at their barracks in Santa Luiza, blocking access to roads, barracks, and schools. The mutineers demanded 17 months of salary arrears and ended the mutiny when General Mane promised to have the issue promptly resolved.",,1. Guinea-Bissau mutineers win promise of back pay. Agence France Presse. November 3 1999. LN. 2. Army protest in Guinea-Bissau causes unease ahead of elections. Associated Press International. November 4 1999. LN.,"Santa Luiza, Guinea-Bissau",,,,,,,,0
coup=1 if mutiny morphed into coup,Guinea-Bissau,12/7/1999,404,1999,12,0,1,1,cmps,1,0,Mutineers blocked roads in the capital and warned civilians to stay home as they protested a delay in salary payments. The mutiny was short lived and soldiers were given their backpay.,,1. West Africa; IRIN-WA Update of events in West Africa. Africa News. December 9 1999. LN. 2. Soldiers receive advances on war allowances. BBC Summary of world broadcasts. December 11 1999. LN. 3. Guinea-Bissau; situation returns to normal in Bissau. Africa News. December 8 1999. LN.,"Bissau, Guinea-Bissau",,,,,,,,0
,Guinea-Bissau,11/22/2000,404,2000,11,1,1,2,jmp,0,0,General Ansumane Mané and supporters mutiny in response to announced promotions,,,,,,,,,,,0
,Guinea-Bissau,10/6/2004,404,2004,10,0,1,1,cmps,1,1,"More than 600 mutineers protested on the streets of Bissau, demanding payment for their participation in a peacekeeping mission in Liberia. During the course of the mutiny the army chief of staff and a colonel were killed. The soldiers then surrounded strategic buildings, including army HQ and engaged in gun battles with loyalist troops.",,"1. 2nd roundup: Guniea government negotiates with protesting soldiers. Deutsche Presse-Agentur. October 6 2004. LN. 2. 3rd roundup: unpaid soldiers mutiny in Guinea-Bissau, kill two officers Eds: Reledes with death of army chief of staff. Deutsche Presse-Agentur. October 6 2004. LN. 3. Political forces behind army mutiny in Guinea-Bissau: PM. Xinhua General News Service. October 6 2004. LN. 4. Arms and Military affairs; Armed forces chief killed as soldiers mutiny over pay arrears. Africa News. October 7 2004. LN. 5. Guinea Bissau; Fragile democracy jeopardised by military revolt. Africa News. October 7 2004. LN. 6. Guinea-Bissau general who led coup killed in army mutiny, officials confirm. Agence France Presse. October 7 2004. LN. 7. Troops mutiny in back-pay demand. The Independent. October 7 2004. LN. 8. Guinea-Bissau government, mutineers resume talks. Xinhua General News Service. October 7 2004. LN. 9. Guinea-Bissau mutineers to continue negotiation with Gov't. Xinhua General News Service. October 7 2004. LN. 10. Guinea-Bissau unrest over, president says. Deutsche Presse-Agentur. October 8 2004. LN.","Bissau, Guinea-Bissau",,,,,,,,1
,Guinea-Bissau,12/26/2011,404,2011,12,0,1,1,cmps,1,1,"Soldiers demanding better pay mutinied in Bissau, fanning out across the capital and attacking the headquarters of the armed forces.",,"1. Soldiers attack Bissau army HQ over pay. Agence France Presse. December 26 2011. LN. 2. Army chief: Bissau soldiers attack HQ over pay. December 26 2011. Morocco Today. Google. Available from: https://www.almaghribtoday.net/en/42/army-chief-bissau-soldiers-attack-hq-over-pay 3. Guinea-Bissau foils military coup, official says. December 26 2011. France 24. Google. Available from: https://www.france24.com/en/20111226-guinea-bissau-foils-military-coup-official-says","Bissau, Guinea-Bissau",,,,,,,,1
,Equatorial Guinea,1/#/1986,411,1986,1,0,0,2,jmp,0,0,President Obiang institutes a ministerial reshuffle after armed forces unrest in Rio Muni.,verify,"1. Le Monde. Ministry of Defense is attached to the Presidency. January 21, 1986",,,,,,,,,0
,Gambia,6/14/1991,420,1991,6,0,1,1,cmps,1,1,"About 60 Gambian soldiers that served in an ECOMOG peacekeeping mission in Liberia mutinied in Banjul, protesting in front of the state house over unpaid deployment allowances. They demanded payment and the dismissal of army commander Colonel Ndaw Njie and the reinstatement of Major Sheikh Omay Fye.",,"1. Dwyer, Maggie. 2017. ""Fragmented forces: The development of the Gambian military."" African Security Review 26(4): 362-377. 2. World in brief: Dismissal demanded. The Globe and Mail. June 15 1991. LN.","Banjul, Gambia",,,,,,,,1
,Gambia,2/3/1992,420,1992,2,0,1,1,cmps,1,1,"Soldiers from the Yundum barracks mutinied, abandoning their barracks and protesting to authorities in the capital. The soldiers were demanding pay from their participation in an ECOMOG mission in Liberia.",,"1. Dwyer, Maggie. 2017. ""Fragmented forces: The development of the Gambian military."" African Security Review 26(4): 362-377. 2. Dwyer, Maggie. ""Anticipating the revolt: Trends in military mutinies in west and central Africa, 1960-2012."" Available from: https://pdfs.semanticscholar.org/a02b/72508c0f7e14278128ac371fc2b12764d764.pdf 3. Dwyer, Maggie. 2017. Soldiers in Revolt: Army Mutinies in Africa. C. Hurst & Co., UK. 4. West and Central Africa in Brief; Gambia protesting soldiers sow confusion in Banjul. BBC Summary of World Broadcasts. 6 February 1992. LN.","Banjul, Gambia",,,,,,,,1
,Mali,3/21/2012,432,2012,21,1,1,1,cmps,1,1,"Soldiers began a mutiny in Bamako, firing in the air and taking over the radio and television station. They were protesting the conflict in the north and demanded proper weapons and equipment to fight the Tuaregs. Similar mutinies and rioting were reported in Kati and Gao. The mutiny escalated into a coup when soldiers stormed the presidential palace and deposed the president.",,"1. Mali renegade soldiers say government dissolved. Voice of America News. March 22 2012. LN. 2. Mali; shots fired in Bamako during 'mutiny.' Africa News. March 21 2012. LN. 3. Fed-up with northern rebellion, Mali soldiers revolt. Agence France Presse. March 21 2012. LN. 4. Soldiers announce coup in Mali weeks before vote. Daily News Egypt. March 22 2012. LN. 5. Hours after soldiers storm state TV in Mali, mutiny at 2nd military base; Soldiers mutiny at military base in Mali. Canadian Press. March 21 2012. LN. 6. Mali soldiers say seize power after palace attack. News Point. March 22 2012. LN. 7. Soldiers stage mutiny, seize presidential palace in Mali. The Times (UK). March 22 2012. LN. 8. Mali junta detains loyalist army chiefs in northeast. Agence France Presse. March 22 2012. LN. 9. Fresh soldiers riot hits Gao town in Mali, gunshots heard: source. Xinhua General News Service. March 21 2012. LN. 10. 1st LD U.S. calls for peaceful solution to Mali crisis WASHINGTON, March 21
 (Xinhua) -- The U.S. government on Wednesday called for a peaceful solution to the ongoing crisis in Mali after Malian soldiers occupied the country's national television station earlier in the day. Xinhua General News Service. March 21 2012. LN. 11. Mali soldiers attack presidential palace. FT.com. March 21 2012. LN. 12. Soldiers mutiny at Gao military base in Mali. Associated Press Online. March 21 2012. LN. 13. Fighting escalates in attack on Mali presidency: witnesses. Agence France Presse. March 21 2012. LN. 14. Elite Mali troops patrol capital after mutiny. Agence France Presse. March 21 2012. LN. 15. Mali; whether staging mutiny or coup, soldiers shut down news media. Africa News. March 22 2012. LN. 16. Frustrated with handling of Tuareg rebellion, Mali's military mutinies; Washington monitors the unrest in a country it has long championed as a beacon of democracy in Africa. Globe and Mail. March 21 2012. LN. 17. France calls on Mali to respect. constitution amid mutiny. Agence France Presse. March 21 2012. LN. 18. ECOWAS statement on the disturbances in Bamako, Mali. Economic Community of West African States. March 2012. LN. 19. Mali; shots fired in Bamako during 'mutiny.' Africa News. March 21 2012. LN. 20. Exchange of gunfire at Mali's presidential palace: witnesses. Agence France Presse. March 21 2012. LN. 21. 3rd LD Mali soldiers fire ginshots in capital, occupy state TV. Xinhua General News Service. March 21 2012. LN. 22. Soldiers mutiny in Bamako, Mali. European Press Agency (EPA). March 21 2012. LN. 23. Mali; Mutiny 'topples' president Toure. Africa News. March 22 2012. LN.","Bamako, Mali (Kati Barracks)","Gao, Mali","Kati, Mali",,,,,,1
,Mali,1/31/2013,432,2013,1,0,1,1,cmps,1,0,"Soldiers in Douentza mutinied, refusing orders to relocate to Gao. The soldiers claimed that they were protesting the non-payment of wages and would not follow orders to move to Gao until they were paid.",,1. Malian soldiers refuse to move north until salaries are paid. BBC Monitoring Africa. January 31 2013. LN.,"Douentza, Mali",,,,,,,,1
,Mali,3/10/2013,432,2013,3,0,1,2,jmp,0,1,Dozens of soldiers mutiny and leave posts in Diably over lack of deployment bonuses,,MMDD,,,,,,,,,
